# Taxonomy candidates (issue #37), written by scripts/taxonomy_candidates.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# O*NET 30.2 Technology Skills (CC BY 4.0): https://www.onetcenter.org/dl_files/database/db_30_2_text/Technology%20Skills.txt sha256 a6e7ea1fb368659a3a8ffe2895d8343cbe80b61efbb2db39cb3cb0f9bd56d3b4
# GitHub Linguist v9.7.0 languages.yml (MIT): https://raw.githubusercontent.com/github-linguist/linguist/v9.7.0/lib/linguist/languages.yml sha256 7c2bc5b59662de6c5d09cd4990e82b2541d4cd2ea7c8c213537730474f24a5c7
# Wikidata (CC0): class pulls on 2026-09-24, label lookups on 2026-09-24.
# df is the number of descriptions naming the candidate by any of its forms; each form=N is that form alone.
df	name	qid	sources	forms
26247	HAL/S	Q667290	wikidata:programming language	HAL/S=0|A=26247
24892	ActionScript	Q234657	linguist:programming|onet:Development environment software|onet:Object or component oriented development software|wikidata:programming language	ActionScript=3|AS=24892|AS3=5|actionscript 3=3|actionscript3=0
24799	TOPS-10	Q1670222	wikidata:operating system	TOPS-10=0|S=24449|T=9394
24449	S	Q1283865	wikidata:programming language	S=24449
22870	Berry		linguist:programming	Berry=5|be=22870
19474	Build	Q1003003	wikidata:software framework|wikidata:software library	Build=19474|Build Engine=0
19286	Microsoft Teams	Q28406404	onet:Enterprise application integration software|onet:Project management software	Microsoft Teams=107|Teams=19286
17267	Adobe Illustrator	Q215016	onet:Graphics or photo imaging software	Adobe Illustrator=1|AI=17262|Illustrator=12
15285	Vim Help File		linguist:prose	Vim Help File=0|help=15285|vimhelp=0
13733	Cloud		onet:Cloud-based management software	Cloud=13733
13511	make	Q300867	wikidata:programming language	make=13511
13062	Python	Q28865	linguist:programming|onet:Object or component oriented development software|wikidata:programming language	Python=13061|Python computer language=0|Python language=10|Python.org=0|py=4|py3=0|python3=2|rusthon=0
12861	Google Drive	Q125851182	onet:Cloud-based data access and sharing software	Google Drive=7|Drive=12861
10756	Vision	Q4040458	wikidata:software framework|wikidata:software library	Vision=10756|Havok Vision=0|Vision Engine=0|Vulpine Vision=0
10364	Office		onet:Office suite software	Office=10364
9822	Access		onet:Data base user interface and query software	Access=9822
9358	AWS		onet:Data base user interface and query software	AWS=9263|Amazon Web Services=245
8282	Just		linguist:programming	Just=8282|Justfile=0
7675	Deployment		onet:Configuration management software	Deployment=7675
7621	Enterprise	Q989875	onet:Cloud-based management software|onet:Enterprise system management software	Enterprise=7621
7204	Incompatible Timesharing System	Q1660989	wikidata:operating system	Incompatible Timesharing System=0|ITS=7204
7174	Go	Q37227	linguist:programming|onet:Development environment software|wikidata:programming language	Go=6537|golang=958
6900	Google Meet	Q56669074	onet:Video conferencing software	Google Meet=46|Meet=6900
6800	Universal Scene Description	Q60997373	wikidata:software library	Universal Scene Description=0|USD=6799|OpenUSD=1
6711	Edge		linguist:markup	Edge=6711
6474	Kubernetes	Q22661306	onet:Application server software	Kubernetes=6372|container orchestrator=3|K8s=303
5754	SQL	Q47607	linguist:data|onet:Data base user interface and query software|wikidata:programming language	SQL=5751|Structural Query Language=0|Structured query language=10
5405	Source	Q643572	wikidata:software framework|wikidata:software library	Source=5405|VMPI=0|Source Engine=0
5389	Analytics		onet:Analytical or scientific software|onet:Data mining software	Analytics=5389
5332	Self	Q1864529	linguist:programming|wikidata:programming language	Self=5332
5159	Azure	Q725967	onet:Development environment software	Azure=5159|Azul=0|Windows Azure=4|Microsoft Azure=672|Azure Services Plattform=0|Windows Azure Platform=0
5105	Microsoft Project	Q80336	onet:Project management software	Microsoft Project=24|Project=5105|MS Project=26
5028	Move		linguist:programming	Move=5028
5010	Processing	Q1053535	linguist:programming|wikidata:programming language	Processing=5007|p5=3|Proce55ing=0
4959	WEB	Q1141484	wikidata:programming language	WEB=4959
4875	ML	Q860654	wikidata:programming language	ML=4875
4721	D	Q319268	linguist:programming|wikidata:programming language	D=4721|D language=0|Dlang=0
4677	Java	Q251	linguist:programming|onet:Object or component oriented development software|wikidata:programming language	Java=4677
4677	Java platform	Q1713118	wikidata:software framework|wikidata:software library	Java platform=11|Java=4677
4664	TypeScript	Q978185	linguist:programming|onet:Object or component oriented development software|wikidata:programming language	TypeScript=3555|TS=1196
4660	Optimization		onet:Analytical or scientific software	Optimization=4660
4592	K	Q4042031	wikidata:programming language	K=4592|K Language=0
4565	Solid	Q2463685	wikidata:software framework|wikidata:software library	Solid=4565
4508	Email	Q99059364	onet:Electronic mail software	Email=4508|Android Email=0|com.android.email=0|Stock Email=0
4260	Action!	Q343587	wikidata:programming language	Action!=4260
4248	Reporting		onet:Data base reporting software	Reporting=4248
3901	Docker	Q15206305	onet:Application server software|wikidata:software framework|wikidata:software library	Docker=3901|Docker software=1
3883	Oracle Database	Q185524	onet:Data base management system software|onet:Data base user interface and query software|wikidata:DBMS	Oracle Database=35|Oracle=675|Oracle DBMS=5|Oracle RDBMS=2|Database=3457
3736	C++	Q2407	linguist:programming|onet:Object or component oriented development software|wikidata:programming language	C++=3711|cpp=25
3726	Linux	Q388	onet:Operating system software	Linux=3726
3581	Perl Compatible Regular Expressions	Q125267	wikidata:software library	Perl Compatible Regular Expressions=0|[^: space:]=3581|libpare=0|libpcre386=0|PCRE=0|PCRE383=0|PCRE386=0
3554	React	Q19399674	onet:Web platform development software|wikidata:software library	React=3388|React.js=117|Reactjs=136
3486	Terraform	Q28957072	onet:Configuration management software	Terraform=3478|tf=16|HashiCorp Terraform=10
3409	SAN		onet:Storage networking software	SAN=3407|Storage area network=4
3223	Workflow		onet:Content workflow software	Workflow=3223
3127	C	Q15777	linguist:programming|onet:Development environment software|wikidata:programming language	C=3127|C language=7
3127	C--	Q81348	wikidata:programming language	C--=3127|C minus minus=0
3097	Debugging		onet:Program testing software	Debugging=3097
3028	Expect	Q2642029	wikidata:programming language	Expect=3028
2915	E	Q2658244	linguist:programming|wikidata:programming language	E=2915
2902	JavaScript	Q2005	linguist:programming|onet:Web platform development software|wikidata:programming language	JavaScript=2788|js=193
2811	Click		linguist:programming	Click=2811
2744	BASIC	Q42979	linguist:programming|onet:Development environment software|wikidata:programming language	BASIC=2744|Symbolic Instruction Code=0|Beginner's all-purpose symbolic instruction code=0
2721	Git	Q186055	onet:File versioning software	Git=2721|content tracker=0|the stupid content tracker=0
2615	LinkedIn		onet:Web page creation and editing software	LinkedIn=2615
2607	GitHub	Q364	onet:Application server software|wikidata:software framework|wikidata:software library	GitHub=2607
2595	ConTeXt	Q1123462	wikidata:software library	ConTeXt=2595
2575	Clean	Q377986	linguist:programming|wikidata:programming language	Clean=2575
2563	Requests	Q22661317	wikidata:software library	Requests=2563
2407	root	Q947171	wikidata:programming language|wikidata:software library	root=2171|BLUE=285
2383	Apache Kafka	Q16235208	onet:Development environment software	Apache Kafka=293|Kafka=2383
2372	IBM WebSphere Application Server	Q81612	wikidata:software framework|wikidata:software library|wikidata:web framework	IBM WebSphere Application Server=0|WAS=2368|websphere=4|WebSphere Application Server=1
2248	Oracle Reports	Q4045946	onet:Data base reporting software	Oracle Reports=0|Reports=2248
2192	Text		linguist:prose	Text=1339|fundamental=874|plain text=15
2160	OpenEdge Advanced Business Language	Q1963461	wikidata:programming language	OpenEdge Advanced Business Language=0|Progress=2160|Progress 4GL=0
