# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
10181	Familiarity	1857	0.69	0.48	Familiarity=4778|familiarity=2162
7769	e.g	1541	1.00	0.50	e.g=14014|E.g=5
7178	CI	1516	0.99	0.47	CI=11552|ci=63|Ci=32
6917	APIs	1556	1.00	0.35	APIs=11174|apis=10|Apis=4|APIS=2
6766	CD	1481	1.00	0.47	CD=10724|cd=4
6713	CI CD	1475	0.88	0.50	CI CD=7|ci cd=1
5227	native	1134	0.48	0.57	native=1377|Native=1246
4710	API	1235	1.00	0.35	API=7756|api=24
4039	GCP	934	1.00	0.90	GCP=5157
3992	Nice	941	0.89	0.22	Nice=1734|nice=299|NiCE=299|NICE=285
3600	DevOps	1036	0.99	0.33	DevOps=5687|devops=76|Devops=55|DEVOPS=4|devOps=2|DevOPS=2
3408	Google	808	1.00	0.51	Google=4530|google=22
3230	Preferred Qualifications	599	0.79	0.20	Preferred Qualifications=1029|PREFERRED QUALIFICATIONS=302|Preferred qualifications=202|preferred qualifications=144
3112	REST	962	0.71	0.50	REST=2487|rest=1074|Rest=85|ReST=10
2532	Microsoft	701	1.00	0.65	Microsoft=4537|microsoft=4
2485	actions	859	0.47	0.49	actions=1597|Actions=1406
2433	Claude	765	1.00	0.27	Claude=3396|claude=8
2245	Qualifications Experience	527	0.90	0.21	Qualifications Experience=895|QUALIFICATIONS Experience=232|qualifications Experience=122|qualifications experience=3
2204	server	733	0.47	0.65	server=1713|Server=1536
1994	AWS Azure	514	1.00	1.00	AWS Azure=1
1717	UI	634	1.00	0.27	UI=2868|ui=2
1642	Proficient	575	0.56	0.61	Proficient=612|proficient=480
1490	OS	336	0.65	0.23	OS=1545|os=833|Os=2
1423	Certified	412	0.76	0.45	Certified=1495|certified=484
1400	IP	406	1.00	0.33	IP=1707|ip=4|iP=1
1392	Preferred Qualifications Experience	380	0.85	0.23	Preferred Qualifications Experience=282|PREFERRED QUALIFICATIONS Experience=113|Preferred qualifications Experience=70
1358	Claude Code	514	0.99	0.27	Claude Code=1366|Claude code=9|claude code=4
1351	Grafana	498	0.99	0.67	Grafana=2103|grafana=11
1347	MS	393	0.99	0.23	MS=1242|Ms=48|ms=11
1294	Google Cloud	408	1.00	0.84	Google Cloud=1576|google cloud=4|Google cloud=2
1258	AWS GCP	463	1.00	1.00	AWS GCP=1
1241	desired	341	0.42	0.24	desired=574|Desired=380|DESIRED=44
1231	IAM	539	1.00	0.42	IAM=1985
1221	Docker Kubernetes	493	0.92	0.92	Docker Kubernetes=12|docker Kubernetes=1
1203	ETL	546	1.00	0.39	ETL=1617
